"Daily Weather Observations for Melbourne Airport, Victoria for January 2026"
"Prepared at 05:37 UTC on Wednesday 28 January 2026   IDCJDW3049.202601"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne Airport {station 086282}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2026-01-1,13.6,21.7,0.2,,,S,46,13:41,16.2,67,8,S,28,1016.5,20.3,54,,SSW,30,1016.1
,2026-01-2,13.2,27.0,0,,,WSW,30,07:21,15.6,73,7,SSW,20,1017.0,26.1,34,,SSW,17,1013.7
,2026-01-3,13.3,33.4,0,,,N,61,08:05,24.9,44,,N,46,1009.6,32.7,26,1,NW,26,1007.3
,2026-01-4,15.9,22.6,0,,,SSE,43,12:42,18.0,69,8,SSW,19,1013.3,20.1,55,1,S,28,1013.0
,2026-01-5,12.8,23.5,0,,,S,39,14:08,16.7,64,8,SW,19,1015.7,22.4,40,,S,26,1014.3
,2026-01-6,11.5,33.3,0,,,SSE,31,14:17,18.4,63,,NE,2,1016.1,28.9,31,,SSE,20,1014.2
,2026-01-7,16.3,41.9,0,,,N,65,10:33,33.3,26,,N,31,1012.7,40.5,12,,NW,31,1009.7
,2026-01-8,21.1,36.5,0,,,S,41,09:44,32.1,24,7,NNE,19,1009.3,27.2,39,8,SSW,24,1012.3
,2026-01-9,17.2,44.4,0,,,N,87,03:03,23.8,56,2,NNE,26,1004.3,43.3,11,,N,46,997.9
,2026-01-10,16.8,26.2,0,,,WSW,57,14:23,17.6,42,7,WSW,28,1006.1,24.4,29,1,WSW,39,1007.5
,2026-01-11,10.4,20.1,0,,,S,46,13:32,15.1,56,1,SSW,24,1018.7,18.5,39,,SSW,30,1019.9
,2026-01-12,9.4,23.9,0,,,S,41,17:13,14.9,62,,S,6,1018.6,22.8,42,1,SSW,19,1014.3
,2026-01-13,14.9,20.6,0,,,SSW,37,18:13,16.2,81,8,WSW,15,1014.2,19.0,71,8,S,20,1012.9
,2026-01-14,16.1,25.7,0,,,SSW,41,15:14,17.6,78,7,S,22,1011.5,24.6,51,1,SSW,22,1009.2
,2026-01-15,14.3,25.2,0,,,SSW,56,16:31,19.5,83,8,SSW,11,1007.0,23.9,60,8,SSW,28,1006.9
,2026-01-16,16.6,26.2,0,,,SE,72,13:23,19.6,69,7,SE,39,1011.8,23.8,44,6,SE,41,1011.4
,2026-01-17,15.3,29.3,0,,,SE,43,23:16,19.4,62,,SSE,19,1013.9,28.1,39,1,SSE,22,1010.9
,2026-01-18,12.7,29.4,0,,,S,37,15:09,18.8,61,,W,6,1015.0,27.7,32,,SE,17,1011.8
,2026-01-19,14.8,31.9,0,,,NNE,52,08:21,23.2,39,,NNE,35,1012.6,30.9,26,3,NNW,7,1008.9
,2026-01-20,16.1,28.9,0,,,S,39,14:12,19.4,71,3,SW,9,1010.7,27.8,41,,SSW,22,1008.4
,2026-01-21,15.6,25.0,0,,,SSW,54,20:10,18.0,75,8,WSW,15,1008.5,23.1,42,2,SSW,24,1007.4
,2026-01-22,11.3,21.3,0.8,,,S,50,09:41,14.7,66,8,SSW,30,1015.1,19.3,37,1,S,31,1016.0
,2026-01-23,8.6,27.7,0,,,S,39,15:33,15.6,61,,S,9,1016.8,26.3,31,,S,28,1013.2
,2026-01-24,12.3,39.8,0,,,NNE,46,09:03,26.3,30,,N,31,1010.1,37.2,10,,W,24,1005.9
,2026-01-25,17.4,25.6,0,,,SSE,37,13:40,19.1,70,7,SW,13,1009.4,24.2,48,,S,22,1009.2
,2026-01-26,12.9,32.8,0,,,SSW,31,16:44,18.1,77,8,SW,13,1012.5,31.2,28,,ENE,6,1009.5
,2026-01-27,13.4,44.1,0,,,NNE,63,08:35,27.4,43,,NE,13,1007.5,42.5,13,,N,33,1003.7
,2026-01-28,19.4,,0,,,,,,21.5,63,7,SW,15,1013.6,25.3,54,2,S,31,1015.8
